idx,Cond,ttype,choice,response,acc,rt,ssd
28,pnl,go,go,1,1,0.5056072,1000
28,pnl,go,go,1,1,0.5730188,1000
28,pnl,stop,go,1,0,0.5452366,400
28,pnl,go,go,1,1,0.4671026,1000
28,pnl,stop,go,1,0,0.5600691,400
28,pnl,go,go,1,1,0.5985542,1000
28,pnl,go,go,1,1,0.6117828,1000
28,pnl,go,go,1,1,0.5973492,1000
28,pnl,stop,stop,0,1,0.6518162,200
28,pnl,go,go,1,1,0.5851038,1000
28,pnl,go,go,1,1,0.5717692,1000
28,pnl,stop,stop,0,1,0.6517335,300
28,pnl,go,stop,0,0,0.6517597,1000
28,pnl,go,go,1,1,0.478565,1000
28,pnl,stop,stop,0,1,0.6521087,350
28,pnl,stop,stop,0,1,0.6517709,350
28,pnl,go,go,1,1,0.5983789,1000
28,pnl,go,go,1,1,0.6117798,1000
28,pnl,go,go,1,1,0.6118679,1000
28,pnl,stop,stop,0,1,0.6507178,250
28,pnl,stop,stop,0,1,0.651692,200
28,pnl,stop,stop,0,1,0.6517678,250
28,pnl,stop,go,1,0,0.5452352,400
28,pnl,stop,stop,0,1,0.6517955,300
28,pnl,go,go,1,1,0.5051435,1000
28,pnl,stop,stop,0,1,0.6517896,250
28,pnl,stop,stop,0,1,0.6518792,300
28,pnl,stop,stop,0,1,0.6517637,250
28,pnl,go,go,1,1,0.585081,1000
28,pnl,go,go,1,1,0.5850652,1000
28,pnl,stop,stop,0,1,0.6516074,200
28,pnl,go,go,1,1,0.5584774,1000
28,pnl,go,go,1,1,0.5718589,1000
28,pnl,stop,go,1,0,0.5584323,400
28,pnl,go,go,1,1,0.5451689,1000
28,pnl,stop,go,1,0,0.5718023,350
28,pnl,go,go,1,1,0.5718273,1000
28,pnl,go,go,1,1,0.571804,1000
28,pnl,go,go,1,1,0.5849556,1000
28,pnl,stop,stop,0,1,0.6518492,350
28,pnl,stop,stop,0,1,0.6517065,300
28,pnl,go,go,1,1,0.6251384,1000
28,pnl,go,go,1,1,0.5185934,1000
28,pnl,stop,stop,0,1,0.6521113,200
28,pnl,stop,go,1,0,0.5318939,400
28,pnl,go,go,1,1,0.5052326,1000
28,pnl,go,go,1,1,0.5841048,1000
28,pnl,go,go,1,1,0.5317039,1000
28,pnl,go,go,1,1,0.6384386,1000
28,pnl,go,go,1,1,0.5452763,1000
28,pnl,stop,stop,0,1,0.6517512,250
28,pnl,go,go,1,1,0.5185255,1000
28,pnl,stop,stop,0,1,0.6519688,400
28,pnl,stop,go,1,0,0.5452706,400
28,pnl,go,go,1,1,0.5585036,1000
28,pnl,go,go,1,1,0.5982374,1000
28,pnl,go,go,1,1,0.5583663,1000
28,pnl,stop,stop,0,1,0.651708,200
28,pnl,stop,stop,0,1,0.6518719,350
28,pnl,stop,stop,0,1,0.651445,350
28,pnl,stop,stop,0,1,0.6517487,300
28,pnl,go,go,1,1,0.5319438,1000
28,pnl,stop,stop,0,1,0.651754,250
28,pnl,stop,stop,0,1,0.6517997,200
28,pnl,go,go,1,1,0.5717672,1000
28,pnl,stop,stop,0,1,0.6516907,300
28,pnl,go,go,1,1,0.5174729,1000
28,pnl,go,go,1,1,0.585118,1000
28,pnl,go,go,1,1,0.5717769,1000
28,pnl,go,go,1,1,0.545226,1000
28,pnl,stop,stop,0,1,0.6516239,250
28,pnl,stop,stop,0,1,0.6518265,350
28,pnl,stop,go,1,0,0.5453598,400
28,pnl,stop,stop,0,1,0.6517939,200
28,pnl,stop,stop,0,1,0.6517068,300
28,pnl,stop,stop,0,1,0.651739,300
28,pnl,go,go,1,1,0.5064021,1000
28,pnl,go,go,1,1,0.5718461,1000
28,pnl,stop,stop,0,1,0.6518749,200
28,pnl,go,go,1,1,0.5185656,1000
28,pnl,go,go,1,1,0.5318935,1000
28,pnl,stop,go,1,0,0.5203276,350
28,pnl,go,go,1,1,0.5584363,1000
28,pnl,stop,go,1,0,0.5317599,400
28,pnl,go,go,1,1,0.5850947,1000
28,pnl,go,go,1,1,0.6106903,1000
28,pnl,stop,stop,0,1,0.6534212,250
29,bsl,go,go,1,1,0.5183689,1000
29,bsl,go,go,1,1,0.5450801,1000
29,bsl,go,go,1,1,0.5316764,1000
29,bsl,go,go,1,1,0.5852762,1000
29,bsl,go,go,1,1,0.5318035,1000
29,bsl,go,go,1,1,0.5316365,1000
29,bsl,go,go,1,1,0.5184459,1000
29,bsl,go,go,1,1,0.5451622,1000
29,bsl,go,go,1,1,0.5319261,1000
29,bsl,go,go,1,1,0.5185935,1000
29,bsl,go,go,1,1,0.5451231,1000
29,bsl,go,go,1,1,0.5068811,1000
29,bsl,go,go,1,1,0.4918284,1000
29,bsl,stop,stop,0,1,0.6517359,300
29,bsl,go,go,1,1,0.5584967,1000
29,bsl,stop,stop,0,1,0.6517152,200
29,bsl,stop,stop,0,1,0.6517459,350
29,bsl,go,go,1,1,0.5850959,1000
29,bsl,stop,stop,0,1,0.651761,200
