idx,Cond,pGo,pGo_split,ttype,response,acc,choice,rt
1,bsl,0.6,1,go,1,1,go,0.5450427
1,bsl,0.2,2,go,0,0,stop,0.5451635
1,bsl,0.0,2,go,0,0,stop,0.5451463000000001
1,bsl,0.4,2,go,0,0,stop,0.5450885999999999
1,bsl,0.8,1,go,1,1,go,0.5184907999999999
1,bsl,0.2,2,go,0,0,stop,0.5450223000000001
1,bsl,0.4,2,go,0,0,stop,0.558248
1,bsl,1.0,1,go,1,1,go,0.5051724
1,bsl,0.0,2,go,0,0,stop,0.5451391999999999
1,bsl,1.0,1,go,1,1,go,0.4785576
1,bsl,0.6,1,go,0,0,stop,0.5451469
1,bsl,0.0,2,go,0,0,stop,0.5450915
1,bsl,0.0,2,go,0,0,stop,0.5451381
1,bsl,0.6,1,go,1,1,go,0.5466107
1,bsl,1.0,1,go,1,1,go,0.5202164
1,bsl,0.2,2,go,0,0,stop,0.5468789000000001
1,bsl,0.2,2,go,0,0,stop,0.5454544
1,bsl,1.0,1,go,1,1,go,0.5051177
1,bsl,1.0,1,go,1,1,go,0.4936109
1,bsl,0.0,2,go,0,0,stop,0.545184
1,bsl,0.6,1,go,1,1,go,0.5451052
1,bsl,0.6,1,go,1,1,go,0.5468821
1,bsl,0.6,1,go,1,1,go,0.5317141
1,bsl,1.0,1,go,1,1,go,0.5318586
1,bsl,1.0,1,go,1,1,go,0.49177790000000005
1,bsl,0.2,2,go,0,0,stop,0.5451814
1,bsl,0.8,1,go,1,1,go,0.518575
1,bsl,0.2,2,go,1,1,go,0.5452103
1,bsl,0.6,1,go,0,0,stop,0.5452109
1,bsl,0.4,2,go,1,1,go,0.5451333
1,bsl,0.0,2,go,0,0,stop,0.5450448
1,bsl,0.4,2,go,0,0,stop,0.5451722
1,bsl,0.2,2,go,1,1,go,0.5452253
1,bsl,0.8,1,go,1,1,go,0.4650984
1,bsl,1.0,1,go,1,1,go,0.5450689999999999
1,bsl,0.0,2,go,0,0,stop,0.5451979
1,bsl,0.2,2,go,1,1,go,0.5451315999999999
1,bsl,0.8,1,go,1,1,go,0.4785116
1,bsl,0.8,1,go,1,1,go,0.4918505
1,bsl,0.4,2,go,1,1,go,0.5450702
1,bsl,0.0,2,go,0,0,stop,0.5452368000000001
1,bsl,0.4,2,go,1,1,go,0.5318673
1,pnl,1.0,1,go,1,1,go,0.4519379
1,pnl,1.0,1,go,1,1,go,0.5050601
1,pnl,1.0,1,go,1,1,go,0.5317502
1,pnl,1.0,1,go,1,1,go,0.5051997
1,pnl,1.0,1,go,1,1,go,0.5317814000000001
1,pnl,1.0,1,go,1,1,go,0.47859120000000005
1,pnl,1.0,1,go,1,1,go,0.5051327999999999
1,pnl,1.0,1,go,1,1,go,0.47836270000000003
1,pnl,0.6,1,go,1,1,go,0.5185449000000001
1,pnl,0.8,1,go,1,1,go,0.545107
1,pnl,0.2,2,go,0,0,stop,0.545212
1,pnl,0.0,2,go,0,0,stop,0.5451936
1,pnl,0.6,1,go,0,0,stop,0.5576638
1,pnl,0.8,1,go,1,1,go,0.5317066
1,pnl,0.0,2,go,0,0,stop,0.5450417
1,pnl,0.6,1,go,1,1,go,0.5452022
1,pnl,0.4,2,go,1,1,go,0.545127
1,pnl,1.0,1,go,1,1,go,0.5184948
1,pnl,1.0,1,go,1,1,go,0.5451362
1,pnl,0.4,2,go,1,1,go,0.5451554
1,pnl,0.2,2,go,1,1,go,0.545188
1,pnl,0.2,2,go,0,0,stop,0.5450234
1,pnl,1.0,1,go,1,1,go,0.5320064999999999
1,pnl,0.4,2,go,0,0,stop,0.5451095
