idx,pGo,Cond,response,choice,rt,HL
1,0.4,pnl,1,go,0.5452129,2
1,0.8,pnl,1,go,0.5317939,1
1,0.0,pnl,0,stop,0.5450682,2
1,0.6,pnl,1,go,0.5451949,1
1,0.4,pnl,1,go,0.5452341,2
1,0.8,pnl,1,go,0.5582764,1
1,0.8,pnl,1,go,0.5052335,1
1,0.0,pnl,0,stop,0.5450222,2
1,0.8,pnl,1,go,0.5186098,1
1,1.0,pnl,1,go,0.4516167,1
1,0.8,pnl,1,go,0.4783754,1
1,0.8,pnl,1,go,0.545162,1
1,1.0,pnl,1,go,0.54518,1
1,0.0,pnl,0,stop,0.5452042,2
1,0.6,pnl,1,go,0.5451472,1
1,0.8,pnl,1,go,0.5450605,1
1,0.8,pnl,1,go,0.5185562,1
1,0.0,pnl,0,stop,0.5452156,2
1,0.0,pnl,0,stop,0.5451386,2
1,0.6,pnl,1,go,0.545099,1
1,0.0,pnl,0,stop,0.5452024,2
1,1.0,pnl,1,go,0.5184418,1
1,0.4,pnl,0,stop,0.5580571,2
1,0.2,pnl,0,stop,0.558261,2
1,0.6,pnl,1,go,0.5458282,1
1,0.2,pnl,0,stop,0.5452106,2
1,1.0,pnl,1,go,0.439919,1
1,0.6,pnl,1,go,0.5467959,1
1,0.4,pnl,0,stop,0.5451511,2
1,1.0,pnl,1,go,0.5318851,1
1,0.2,pnl,0,stop,0.5451975,2
1,0.4,pnl,0,stop,0.5450949,2
1,0.2,pnl,0,stop,0.5451881,2
1,0.4,pnl,0,stop,0.545131,2
1,1.0,pnl,1,go,0.5060593,1
1,0.6,pnl,0,stop,0.5452549,1
1,1.0,pnl,1,go,0.5184537,1
1,1.0,pnl,1,go,0.5452478,1
1,0.8,pnl,1,go,0.5184899,1
1,0.0,pnl,0,stop,0.5451155,2
1,0.6,pnl,0,stop,0.5452049,1
1,0.0,pnl,0,stop,0.5450761,2
1,0.2,pnl,0,stop,0.5451063,2
1,0.4,pnl,0,stop,0.557405,2
1,0.0,pnl,0,stop,0.5451369,2
1,0.8,pnl,1,go,0.4785798,1
1,1.0,pnl,1,go,0.5468945,1
1,0.4,pnl,0,stop,0.5451471,2
1,0.4,pnl,1,go,0.5450668,2
1,0.4,pnl,1,go,0.5450807,2
1,0.6,pnl,1,go,0.5185048,1
1,0.2,pnl,0,stop,0.5451655,2
1,0.6,pnl,0,stop,0.5451112,1
1,0.0,pnl,0,stop,0.5451209,2
1,0.2,pnl,0,stop,0.5451452,2
1,0.8,pnl,1,go,0.518565,1
1,0.2,pnl,0,stop,0.5451473,2
1,1.0,pnl,1,go,0.5183892,1
1,0.8,pnl,1,go,0.5052413,1
1,1.0,pnl,1,go,0.5069651,1
1,0.8,pnl,1,go,0.5451537,1
1,0.6,pnl,0,stop,0.5451019,1
1,0.2,pnl,0,stop,0.545135,2
1,0.4,pnl,1,go,0.54513,2
1,0.8,pnl,1,go,0.5317221,1
1,0.6,pnl,1,go,0.5451149,1
1,1.0,pnl,1,go,0.518517,1
1,0.4,pnl,1,go,0.5450218,2
1,0.0,pnl,0,stop,0.5451709,2
1,0.6,pnl,0,stop,0.5450028,1
1,0.6,pnl,0,stop,0.5451112,1
1,0.8,pnl,1,go,0.5318198,1
1,0.4,pnl,1,go,0.54507,2
1,0.4,pnl,0,stop,0.5450417,2
1,0.2,pnl,0,stop,0.5451331,2
1,0.2,pnl,0,stop,0.545112,2
1,0.2,pnl,0,stop,0.5450674,2
1,0.8,pnl,1,go,0.4785156,1
1,0.0,pnl,0,stop,0.545138,2
1,0.0,pnl,0,stop,0.5450603,2
1,0.0,pnl,0,stop,0.5452153,2
1,1.0,pnl,1,go,0.4917875,1
1,1.0,pnl,1,go,0.5308118,1
1,1.0,pnl,1,go,0.5451987,1
1,1.0,pnl,1,go,0.493612,1
